COUNTRY,IDCNTRY,IDSTUD
DEU,(280) Germany,303040108
DEU,(280) Germany,303040109
DEU,(280) Germany,303040110
DEU,(280) Germany,303040111
DEU,(280) Germany,303040112
DEU,(280) Germany,303040113
DEU,(280) Germany,303040114
DEU,(280) Germany,303040115
DEU,(280) Germany,303040116
DEU,(280) Germany,303040117
DEU,(280) Germany,303040118
DEU,(280) Germany,303040119
DEU,(280) Germany,303040120
DEU,(280) Germany,303040121
DEU,(280) Germany,303040122
DEU,(280) Germany,303040123
DEU,(280) Germany,303040124
DEU,(280) Germany,303040125
DEU,(280) Germany,303040126
DEU,(280) Germany,303040127
DEU,(280) Germany,303040128
DEU,(280) Germany,303040129
DEU,(280) Germany,303040130
DEU,(280) Germany,303060101
DEU,(280) Germany,303060102
DEU,(280) Germany,303060103
DEU,(280) Germany,303060104
DEU,(280) Germany,303060105
DEU,(280) Germany,303060106
DEU,(280) Germany,303060107
DEU,(280) Germany,303060108
DEU,(280) Germany,303060109
DEU,(280) Germany,303060110
DEU,(280) Germany,303060111
DEU,(280) Germany,303060112
DEU,(280) Germany,303060113
DEU,(280) Germany,303060114
DEU,(280) Germany,303060115
DEU,(280) Germany,303060116
DEU,(280) Germany,303060117
DEU,(280) Germany,303060118
DEU,(280) Germany,303060119
DEU,(280) Germany,303060120
DEU,(280) Germany,303060121
DEU,(280) Germany,303060122
DEU,(280) Germany,303060123
DEU,(280) Germany,303060124
DEU,(280) Germany,303060125
DEU,(280) Germany,303060126
DEU,(280) Germany,303060127
DEU,(280) Germany,303060128
DEU,(280) Germany,303060129
DEU,(280) Germany,303060130
DEU,(280) Germany,303090101
DEU,(280) Germany,303090102
DEU,(280) Germany,303090103
DEU,(280) Germany,303090104
DEU,(280) Germany,303090105
DEU,(280) Germany,303090106
DEU,(280) Germany,303090107
DEU,(280) Germany,303090108
DEU,(280) Germany,303090109
DEU,(280) Germany,303090110
DEU,(280) Germany,303090111
DEU,(280) Germany,303090112
DEU,(280) Germany,303090113
DEU,(280) Germany,303090114
DEU,(280) Germany,303090115
DEU,(280) Germany,303090116
DEU,(280) Germany,303090117
DEU,(280) Germany,303090118
DEU,(280) Germany,303090119
DEU,(280) Germany,303090120
DEU,(280) Germany,303090121
DEU,(280) Germany,303090122
DEU,(280) Germany,303090123
DEU,(280) Germany,303090124
DEU,(280) Germany,303090125
DEU,(280) Germany,303090126
DEU,(280) Germany,303090127
DEU,(280) Germany,304010101
DEU,(280) Germany,304010102
DEU,(280) Germany,304010103
DEU,(280) Germany,304010104
DEU,(280) Germany,304010105
DEU,(280) Germany,304010106
DEU,(280) Germany,304010107
DEU,(280) Germany,304010108
DEU,(280) Germany,304010109
DEU,(280) Germany,304010110
DEU,(280) Germany,304010111
DEU,(280) Germany,304010112
DEU,(280) Germany,304010113
DEU,(280) Germany,304010114
DEU,(280) Germany,304010115
DEU,(280) Germany,304010116
DEU,(280) Germany,304010117
DEU,(280) Germany,304010118
DEU,(280) Germany,304010119
DEU,(280) Germany,304010120
DEU,(280) Germany,304010121
DEU,(280) Germany,304010122
DEU,(280) Germany,304010123
DEU,(280) Germany,304010124
DEU,(280) Germany,304010125
DEU,(280) Germany,304010126
DEU,(280) Germany,304010127
DEU,(280) Germany,304010128
DEU,(280) Germany,304040101
DEU,(280) Germany,304040102
DEU,(280) Germany,304040103
DEU,(280) Germany,304040104
DEU,(280) Germany,304040105
DEU,(280) Germany,304040106
DEU,(280) Germany,304040107
DEU,(280) Germany,304040108
DEU,(280) Germany,304040109
DEU,(280) Germany,304040110
DEU,(280) Germany,304040111
DEU,(280) Germany,304040112
DEU,(280) Germany,304040113
DEU,(280) Germany,304040114
DEU,(280) Germany,304040115
DEU,(280) Germany,304040116
DEU,(280) Germany,304040117
DEU,(280) Germany,304040118
DEU,(280) Germany,304040119
DEU,(280) Germany,304040120
DEU,(280) Germany,304040121
DEU,(280) Germany,304040122
DEU,(280) Germany,304040123
DEU,(280) Germany,304040124
DEU,(280) Germany,304040125
DEU,(280) Germany,304040126
DEU,(280) Germany,304060101
DEU,(280) Germany,304060102
DEU,(280) Germany,304060103
DEU,(280) Germany,304060104
DEU,(280) Germany,304060105
DEU,(280) Germany,304060106
DEU,(280) Germany,304060107
DEU,(280) Germany,304060108
DEU,(280) Germany,304060109
DEU,(280) Germany,304060110
DEU,(280) Germany,304060111
DEU,(280) Germany,304060112
DEU,(280) Germany,304060113
DEU,(280) Germany,304060114
DEU,(280) Germany,304060115
DEU,(280) Germany,304060116
DEU,(280) Germany,304060117
DEU,(280) Germany,304060118
DEU,(280) Germany,304060119
DEU,(280) Germany,304060120
DEU,(280) Germany,304060121
DEU,(280) Germany,304060122
DEU,(280) Germany,305010101
DEU,(280) Germany,305010102
DEU,(280) Germany,305010103
DEU,(280) Germany,305010104
DEU,(280) Germany,305010105
DEU,(280) Germany,305010106
DEU,(280) Germany,305010107
DEU,(280) Germany,305010108
DEU,(280) Germany,305010109
DEU,(280) Germany,305010110
DEU,(280) Germany,305010111
DEU,(280) Germany,305010112
DEU,(280) Germany,305010113
DEU,(280) Germany,305010114
DEU,(280) Germany,305010115
DEU,(280) Germany,305010116
DEU,(280) Germany,305010117
DEU,(280) Germany,305010118
DEU,(280) Germany,305010119
DEU,(280) Germany,305010120
DEU,(280) Germany,305010121
DEU,(280) Germany,305010122
DEU,(280) Germany,305010123
DEU,(280) Germany,305010124
DEU,(280) Germany,305010125
DEU,(280) Germany,305010126
DEU,(280) Germany,305010127
DEU,(280) Germany,305010128
DEU,(280) Germany,305010129
DEU,(280) Germany,305010130
DEU,(280) Germany,305010131
DEU,(280) Germany,305010132
DEU,(280) Germany,305020101
DEU,(280) Germany,305020102
DEU,(280) Germany,305020103
DEU,(280) Germany,305020104
DEU,(280) Germany,305020105
DEU,(280) Germany,305020106
DEU,(280) Germany,305020107
DEU,(280) Germany,305020108
DEU,(280) Germany,305020109
DEU,(280) Germany,305020110
DEU,(280) Germany,305020111
DEU,(280) Germany,305020112
DEU,(280) Germany,305020113
DEU,(280) Germany,305020114
DEU,(280) Germany,305020115
DEU,(280) Germany,305020116
DEU,(280) Germany,305020117
DEU,(280) Germany,305020118
DEU,(280) Germany,305020119
DEU,(280) Germany,305020120
DEU,(280) Germany,305020121
DEU,(280) Germany,305020122
DEU,(280) Germany,305020123
DEU,(280) Germany,305020124
DEU,(280) Germany,305020125
DEU,(280) Germany,305020126
DEU,(280) Germany,305020127
DEU,(280) Germany,305020128
DEU,(280) Germany,305030101
DEU,(280) Germany,305030102
DEU,(280) Germany,305030103
DEU,(280) Germany,305030104
DEU,(280) Germany,305030105
DEU,(280) Germany,305030106
DEU,(280) Germany,305030107
DEU,(280) Germany,305030108
DEU,(280) Germany,305030109
DEU,(280) Germany,305030110
DEU,(280) Germany,305030111
DEU,(280) Germany,305030112
DEU,(280) Germany,305030113
DEU,(280) Germany,305030114
DEU,(280) Germany,305030115
DEU,(280) Germany,305030116
DEU,(280) Germany,305030117
DEU,(280) Germany,305030118
DEU,(280) Germany,305030119
DEU,(280) Germany,305030120
DEU,(280) Germany,305030121
DEU,(280) Germany,305030122
DEU,(280) Germany,305030123
DEU,(280) Germany,305030124
DEU,(280) Germany,305030125
DEU,(280) Germany,305030126
DEU,(280) Germany,305030127
DEU,(280) Germany,305030128
DEU,(280) Germany,305030129
DEU,(280) Germany,305030130
DEU,(280) Germany,305040101
DEU,(280) Germany,305040102
DEU,(280) Germany,305040103
DEU,(280) Germany,305040104
DEU,(280) Germany,305040105
DEU,(280) Germany,305040106
DEU,(280) Germany,305040107
DEU,(280) Germany,305040108
DEU,(280) Germany,305040109
DEU,(280) Germany,305040110
DEU,(280) Germany,305040111
DEU,(280) Germany,305040112
DEU,(280) Germany,305040113
DEU,(280) Germany,305040114
DEU,(280) Germany,305040115
DEU,(280) Germany,305060101
DEU,(280) Germany,305060102
DEU,(280) Germany,305060103
DEU,(280) Germany,305060104
DEU,(280) Germany,305060105
DEU,(280) Germany,305060106
DEU,(280) Germany,305060107
DEU,(280) Germany,305060108
DEU,(280) Germany,305060109
DEU,(280) Germany,305060110
DEU,(280) Germany,305060111
DEU,(280) Germany,305060112
DEU,(280) Germany,305060113
DEU,(280) Germany,305060114
DEU,(280) Germany,305060115
DEU,(280) Germany,305060116
DEU,(280) Germany,305060117
DEU,(280) Germany,305060118
DEU,(280) Germany,305060119
DEU,(280) Germany,305060120
DEU,(280) Germany,305060121
DEU,(280) Germany,305060122
DEU,(280) Germany,305080101
DEU,(280) Germany,305080102
DEU,(280) Germany,305080103
DEU,(280) Germany,305080104
DEU,(280) Germany,305080105
DEU,(280) Germany,305080106
DEU,(280) Germany,305080107
DEU,(280) Germany,305080108
DEU,(280) Germany,305080109
DEU,(280) Germany,305080110
DEU,(280) Germany,305080111
DEU,(280) Germany,305080112
DEU,(280) Germany,305080113
DEU,(280) Germany,305080114
DEU,(280) Germany,305080115
DEU,(280) Germany,305080116
DEU,(280) Germany,305080117
DEU,(280) Germany,305080118
DEU,(280) Germany,305080119
DEU,(280) Germany,305080120
DEU,(280) Germany,305080121
DEU,(280) Germany,305080122
DEU,(280) Germany,305100101
DEU,(280) Germany,305100102
DEU,(280) Germany,305100103
DEU,(280) Germany,305100104
DEU,(280) Germany,305100105
DEU,(280) Germany,305100106
DEU,(280) Germany,305100107
DEU,(280) Germany,305100108
DEU,(280) Germany,305100109
DEU,(280) Germany,305100110
DEU,(280) Germany,305100111
DEU,(280) Germany,305100112
DEU,(280) Germany,305100113
DEU,(280) Germany,305100114
DEU,(280) Germany,305100115
DEU,(280) Germany,305100116
DEU,(280) Germany,305100117
DEU,(280) Germany,305100118
DEU,(280) Germany,305100119
DEU,(280) Germany,305100120
DEU,(280) Germany,305100121
DEU,(280) Germany,305100122
DEU,(280) Germany,601010101
DEU,(280) Germany,601010102
DEU,(280) Germany,601010103
DEU,(280) Germany,601010104
DEU,(280) Germany,601010105
DEU,(280) Germany,601010106
DEU,(280) Germany,601010107
DEU,(280) Germany,601010108
DEU,(280) Germany,601010109
DEU,(280) Germany,601010110
DEU,(280) Germany,601010111
